Policy snapshot for mountaincar
Format: state -> best action | action probabilities
state=(-0.6461538718296932, -0.0341025642477549): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, -0.030512820642728075): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, -0.02692307703770124): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, -0.023333333432674408): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, -0.01974358982764758): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, -0.016153846222620748): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, -0.012564102617593914): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, -0.00897435901256708): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, -0.005384615407540247): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, -0.0017948718025134203): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, 0.0017948718025134203): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, 0.005384615407540247): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, 0.008974359012567074): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, 0.012564102617593914): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, 0.01615384622262074): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, 0.019743589827647567): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, 0.023333333432674408): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, 0.026923077037701235): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, 0.03051282064272806): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, 0.0341025642477549): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, 0.03769230785278173): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, 0.04128205145780857): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, 0.044871795062835396): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, 0.04846153866786222): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, 0.05205128227288906): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, 0.05564102587791589): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, 0.05923076948294273): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, 0.06282051308796954): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, 0.06641025669299638): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6461538718296932, 0.07000000029802322): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, -0.07000000029802322): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, -0.0664102566929964): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, -0.06282051308796956): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, -0.05923076948294273): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, -0.055641025877915896): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, -0.05205128227288906): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, -0.048461538667862236): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, -0.0448717950628354): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, -0.04128205145780857): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, -0.037692307852781735): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, -0.0341025642477549): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, -0.030512820642728075): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, -0.02692307703770124): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, -0.023333333432674408): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, -0.01974358982764758): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, -0.016153846222620748): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, -0.012564102617593914): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, -0.00897435901256708): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, -0.005384615407540247): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, -0.0017948718025134203): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, 0.0017948718025134203): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, 0.005384615407540247): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, 0.008974359012567074): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, 0.012564102617593914): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, 0.01615384622262074): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, 0.019743589827647567): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, 0.023333333432674408): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, 0.026923077037701235): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, 0.03051282064272806): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, 0.0341025642477549): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, 0.03769230785278173): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, 0.04128205145780857): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, 0.044871795062835396): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, 0.04846153866786222): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, 0.05205128227288906): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, 0.05564102587791589): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, 0.05923076948294273): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, 0.06282051308796954): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, 0.06641025669299638): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.6000000238418579, 0.07000000029802322): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, -0.07000000029802322): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, -0.0664102566929964): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, -0.06282051308796956): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, -0.05923076948294273): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, -0.055641025877915896): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, -0.05205128227288906): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, -0.048461538667862236): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, -0.0448717950628354): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, -0.04128205145780857): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, -0.037692307852781735): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, -0.0341025642477549): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, -0.030512820642728075): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, -0.02692307703770124): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, -0.023333333432674408): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, -0.01974358982764758): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, -0.016153846222620748): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, -0.012564102617593914): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, -0.00897435901256708): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, -0.005384615407540247): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, -0.0017948718025134203): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, 0.0017948718025134203): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, 0.005384615407540247): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, 0.008974359012567074): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, 0.012564102617593914): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, 0.01615384622262074): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, 0.019743589827647567): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, 0.023333333432674408): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, 0.026923077037701235): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, 0.03051282064272806): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, 0.0341025642477549): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, 0.03769230785278173): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, 0.04128205145780857): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, 0.044871795062835396): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, 0.04846153866786222): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, 0.05205128227288906): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, 0.05564102587791589): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, 0.05923076948294273): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, 0.06282051308796954): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, 0.06641025669299638): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5538461758540227, 0.07000000029802322): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, -0.07000000029802322): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, -0.0664102566929964): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, -0.06282051308796956): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, -0.05923076948294273): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, -0.055641025877915896): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, -0.05205128227288906): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, -0.048461538667862236): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, -0.0448717950628354): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, -0.04128205145780857): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, -0.037692307852781735): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, -0.0341025642477549): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, -0.030512820642728075): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, -0.02692307703770124): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, -0.023333333432674408): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, -0.01974358982764758): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, -0.016153846222620748): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, -0.012564102617593914): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, -0.00897435901256708): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, -0.005384615407540247): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, -0.0017948718025134203): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, 0.0017948718025134203): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, 0.005384615407540247): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, 0.008974359012567074): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, 0.012564102617593914): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, 0.01615384622262074): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, 0.019743589827647567): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, 0.023333333432674408): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, 0.026923077037701235): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, 0.03051282064272806): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, 0.0341025642477549): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, 0.03769230785278173): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, 0.04128205145780857): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, 0.044871795062835396): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, 0.04846153866786222): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, 0.05205128227288906): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, 0.05564102587791589): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, 0.05923076948294273): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, 0.06282051308796954): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, 0.06641025669299638): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.5076923278661875, 0.07000000029802322): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, -0.07000000029802322): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, -0.0664102566929964): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, -0.06282051308796956): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, -0.05923076948294273): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, -0.055641025877915896): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, -0.05205128227288906): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, -0.048461538667862236): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, -0.0448717950628354): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, -0.04128205145780857): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, -0.037692307852781735): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, -0.0341025642477549): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, -0.030512820642728075): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, -0.02692307703770124): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, -0.023333333432674408): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, -0.01974358982764758): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, -0.016153846222620748): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, -0.012564102617593914): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, -0.00897435901256708): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, -0.005384615407540247): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, -0.0017948718025134203): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, 0.0017948718025134203): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, 0.005384615407540247): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, 0.008974359012567074): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, 0.012564102617593914): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, 0.01615384622262074): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, 0.019743589827647567): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, 0.023333333432674408): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, 0.026923077037701235): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, 0.03051282064272806): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, 0.0341025642477549): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, 0.03769230785278173): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, 0.04128205145780857): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, 0.044871795062835396): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, 0.04846153866786222): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, 0.05205128227288906): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, 0.05564102587791589): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, 0.05923076948294273): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, 0.06282051308796954): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, 0.06641025669299638): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4615384798783523, 0.07000000029802322): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, -0.07000000029802322): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, -0.0664102566929964): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, -0.06282051308796956): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, -0.05923076948294273): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, -0.055641025877915896): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, -0.05205128227288906): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, -0.048461538667862236): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, -0.0448717950628354): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, -0.04128205145780857): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, -0.037692307852781735): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, -0.0341025642477549): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, -0.030512820642728075): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, -0.02692307703770124): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, -0.023333333432674408): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, -0.01974358982764758): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, -0.016153846222620748): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, -0.012564102617593914): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, -0.00897435901256708): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, -0.005384615407540247): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, -0.0017948718025134203): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, 0.0017948718025134203): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, 0.005384615407540247): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, 0.008974359012567074): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, 0.012564102617593914): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, 0.01615384622262074): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, 0.019743589827647567): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, 0.023333333432674408): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, 0.026923077037701235): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, 0.03051282064272806): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, 0.0341025642477549): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, 0.03769230785278173): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, 0.04128205145780857): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, 0.044871795062835396): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, 0.04846153866786222): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, 0.05205128227288906): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, 0.05564102587791589): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, 0.05923076948294273): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, 0.06282051308796954): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, 0.06641025669299638): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.4153846318905171, 0.07000000029802322): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, -0.07000000029802322): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, -0.0664102566929964): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, -0.06282051308796956): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, -0.05923076948294273): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, -0.055641025877915896): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, -0.05205128227288906): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, -0.048461538667862236): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, -0.0448717950628354): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, -0.04128205145780857): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, -0.037692307852781735): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, -0.0341025642477549): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, -0.030512820642728075): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, -0.02692307703770124): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
state=(-0.3692307839026818, -0.023333333432674408): best=0 (1.000) | probs: 0:1.000, 1:0.000, 2:0.000
